date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:51	7843/7843	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/home-blog.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/home-blog.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:51	6608/6608	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/shop-single.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/shop-single.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:51	13676/13676	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/checkout.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/checkout.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:52	6331/6331	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/pricing.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/pricing.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:52	5077/5077	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/error404.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/error404.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:52	6571/6571	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/team.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/team.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:52	5436/5436	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/testimonial.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/testimonial.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:53	7050/7050	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/blog.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/blog.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:53	7550/7550	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/blog-single.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/blog-single.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:53	5155/5155	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/about-us.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/about-us.html	(from http://ngetemplates.com/dark/dark/index.html)
